question,answer
Is there a list of approved or recommended companies to work for during the required pre-MBA work experience ?,"No. Admitted 2+2 students have the flexibility to explore career options in a multitude of industries including traditional companies to start-ups as long as their positions help develop their professional and leadership skills. Historically, the variety of full-time positions admitted 2+2 students pursue have been similar to the diversity of industries and function areas that are represented in the MBA program."
"My bachelor's degree program did not follow a traditional four year timeline (i.e. it was shorter or longer), am I still eligible to apply to HBS through the 2+2 process ?",Yes. You can apply to HBS through the 2+2 program as long as you are in your final year of undergraduate study. There are no minimum or maximum requirements for the length of time spent working toward your bachelor's degree.
Will HBS sponsor a work permit or visa in the United States during the two years of pre-MBA work experience ?,No. HBS is unable to sponsor a work permit or visa during this time. You are welcome to pursue job opportunities in any country.
"If admitted, am I limited to two years of deferral ?","You are not limited to two years of deferral. In many cases, we allow 2+2 admits to defer for three or four years in an HBS-approved professional opportunity before matriculating to HBS. Approvals are offered on a case-by-case basis. "
"When I come to HBS, will I (and the other 2+2 admitted students) be part of a separate program ?","No. Once 2+2 students begin their MBA experience on-campus, they will be integrated into the HBS community with all other students in the MBA Program."
What is the latest date test scores will be accepted ?,"When submitting your application, you may report the unofficial GMAT or GRE score given on the day of the test, or your official score if you have received it. These are the only scores that the Admissions Board acknowledges. Your official score report may arrive from Pearson (for the GMAT) or ETS (for the GRE) after the deadline dates, and this score will be used for verification purposes. GMAT and GRE scores are valid for five years. Please be advised that in order to apply for admission to the Class of 2020, you must have taken the test in the timeframes on the table below. If you are applying in… 
Your GMAT or GRE test date must fall on or between 
Round 1
September 6, 2012 and September 6, 2017
Round 2
January 3, 2013 and January 3, 2018
Round 3
April 2, 2013 and April 2, 2018
2+2 Round
April 10, 2013 and April 10, 2018

"
What is the HBS GMAT code ?,"Please note that the HBS code for the GMAT is HRLX892. For more information on the GMAT, please visit www.gmac.com. If you have applied to HBS in the past and decide to reapply, report your scores on your application. However, you will NOT need to have the testing services resend your official scores to us if the ones we have are still valid."
What is the HBS GRE code ?,"The HBS code for the GRE is 4064. For more information about the GRE, please visit www.ets.org / gre. If you have applied to HBS in the past and decide to reapply, report your scores on your application. However, you will NOT need to have the testing services resend your official scores to us if the ones we have are still valid."
Is there a minimum GMAT or GRE score required to apply ?,No. We accept applicants with a wide range of test scores.
What is the range of GMAT / GRE scores for accepted students ?,"The Admissions Board hopes that all applicants will recognize the following:  the full range of GMAT / GRE scores is very broad, that there is no ""minimum"" score requirement, and that the GMAT / GRE is just one piece of data among the many used to evaluate an application."
Can I list only my best GMAT or GRE score ?,Yes.  We consider only the score from a single test sitting that you present in your application. 
Do I need to complete the AWA section of the GMAT or GRE ?,"Yes. You do not need to have the results of the AWA section of the GMAT or GRE in order to submit your application; however, we do require you to complete this portion of the exam and we will require an AWA score for anyone applying to the program."
Do I need to complete the Integrated Reasoning Component of the GMAT ?,"Yes. Anyone who takes the GMAT on or after June 5, 2012 will be required to take the Integrated Reasoning portion of the GMAT exam"
Who is required to take an English Language test ?,"If you only have a degree (or degrees) from a university where English was NOT the sole language of instruction, you must take an English Language test (either the TOEFL iBT, IELTS or PTE). "
What if I have lived and worked in an English speaking country for many years ?,"Again, if you only have a degree (or degrees) from a university where English was NOT the sole language of instruction, you must take an English Language test (either the TOEFL iBT, IELTS or PTE). "
What if part of my bachelor's degree was part in English and part not in English ?,"In this case, you are still required to take an English Language test. "
"What if my undergraduate degree was not in English, but I received a graduate degree (Master's or PhD degree) from a university program where English was the sole language of instruction ? ","Though it is not required as part of your initial written application, we strongly recommend you take an English language test even if you have a graduate degree from a university program where the sole language was English. "
What is the latest date English test scores will be accepted ?,"TOEFL, IELTS, and Pearson Test of English (PTE) scores are valid for two years. These tests must be dated January 1, 2016 or more recently to be valid. Please note that HBS only accepts the Internet-based (IBT) version of the TOEFL."
 What is the HBS TOEFL code ?, Please note that the HBS code for the TOEFL is 3444. 
Is there a minimum TOEFL / IELTS / PTE test score HBS will consider ?,"HBS does not have a minimum test score to apply, however, the MBA Admissions Board discourages any candidate with a TOEFL score lower than 109 on the IBT, an IELTS score lower than 7.5, or a PTE score lower than 75 from applying."
How can I submit my transcript ?,"Transcripts must be scanned and uploaded to the application. Please do not mail a hard copy of your transcript.  You may upload an ""unofficial"" or student copy of your transcript; however, we will request an official copy for verification purposes should you be admitted to HBS."
Is there a minimum GPA requirement to apply ? ,"No. Although our students often have competitive undergraduate GPAs, there are many other equally important components of the application. GPA is just one factor the Admissions Board uses to evaluate a candidate. "
What is the average GPA of accepted students ?,"Because we recognize that different schools use various grading criteria, it is difficult to determine an average GPA for the class. GPA is only one of many factors that the Admissions Board uses in evaluating an applicant. Check out our Class Profile page for statistics on our first-year class."
Do you accept transfer credits from another college or university ?,"No, we do no accept transfer credits of any kind. All students are expected to complete the full HBS MBA Program."
Financial Aid: What is the estimated cost for one year at HBS ?,"While living expenses vary from student to student, the Financial Aid and Fellowship Board uses the standard student budget in determining financial aid awards. This budget assumes a moderate student lifestyle. Please refer to the cost summary page."
Financial Aid: What are some options for financing my HBS education ?,"HBS is committed to making the MBA Program accessible to students with a demonstrated financial need. Although students are encouraged to draw on personal resources wherever possible to minimize debt, approximately two thirds of Harvard Business School students receive some form of financial assistance, which is composed of a combination of fellowships and loans. Nearly 50% of the class receives an average $35,000 per year in need-based HBS Fellowships. "
Case Method: What makes the HBS case method successful ?,"The case method prepares students for the challenges of leadership in the real world. Through the demanding, engaging, and proactive learning environment, it develops the knowledge, skills, and confidence to face the variety of difficult decisions that students will undoubtedly face throughout their careers. To learn more, you can watch Inside the HBS Case Method, read about the HBS Case Method in Action or schedule a class visit. "
Sections: How is the curriculum structured ?,"Students spend their first two terms completing the Required Curriculum with a ""section"" of 90 students to which they are assigned. This group of students takes all their first-year classes together and becomes an intellectual and social circle. During the second year, students choose up to five courses per semester from a list of course offerings to build their elective curriculum of choice. "
Academic Environment: Is it possible to cross register with other universities ? ,"Yes. HBS students are able to cross register at Sloan School of Business at MIT, Fletcher school of Law and Diplomacy at Tufts University, and any of the other Harvard University graduate programs. During your second year you are able to cross-register for up to two courses toward your MBA degree or may choose to cross-register for an extra course for enrichment only such as a language class. "
 Program Offerings: Does HBS offer an online MBA ?,"Harvard Business School does not offer an online MBA. However HBX (Harvard's online education initiative) does offer a Credential of Readiness for those interested in honing their business skills.
"
Program Offerings: Does HBS offer a part-time or executive MBA program ? ,"HBS has one MBA program, and it is offered only on a full-time basis. If you wish to pursue a part-time or executive-level program, you might be interested in exploring the Program for Leadership Development at HBS. "
What are the extracurricular activities available ?,"Harvard Business School is home to over 70 industry, regional, sports, and other student interest clubs. The Student Association offers over 200 leadership positions through which students can serve as liaisons between the MBA student body and the faculty and administration. Additionally, students have access to over 300 speaker events, 26 conferences, multiple career treks, and various social activities (including International Week, Newport Ball, Holidazzle, Section Olympics, the Dean's Fall Community Party, Restaurant Associates Movie Nights, and the HBS Show) scheduled throughout the school year. "
What percentage of students lives on campus ?,"Over 80% of HBS students live in HBS dorms or Harvard affiliated housing. These residence halls range from dorm rooms to three-bedroom apartments. Because of the very high demand for residence halls, on-campus housing is assigned through a lottery. "
What are my transportation options ?,The HBS campus is accessible via either car or public transportation. It is not necessary to own a car while living in the Cambridge / Boston area because of the convenient subway and bus systems. 
What social opportunities do Harvard Square and Cambridge / Boston offer ? ,Harvard Square and the neighboring Cambridge and Boston areas offer ample opportunities for students to take part in social and entertainment activities. 
How can I sign up for a campus tour ?,There is no need to sign up for a campus tour. You can find the tour schedule on our visit page. 
How can I sign up for a classroom visit and is there a limit to how many I can attend ?,"To schedule a class visit please refer to the visit page on of our website at least one to two weeks prior to your expected arrival date. Due to the high volume of class visit requests, you may only schedule one class visit. "
What events are held for accepted students ? ,We hold Admitted Student Welcome events on campus in February and April. We also will host regional events in many cities throughout the world. 
"As a student, will I have the opportunity to network with alumni through organized events ?","Absolutely. HBS has many networking events and networking tools available to it students. For example, many student clubs organize treks to economic hot spots throughout the world, giving students unparalleled opportunities to network and learn about internship and job possibilities. Also, student clubs hold career-related events for specific areas of interest. Finally, students have the opportunity to network with the more than 40,000 HBS alumni have made themselves available to current students to help them explore career opportunities. To learn more about our networking offerings visit Your Career."
